"Predicted Value","Depth","Variable Label","Link Width","Node ID","Node ID","Proportion Correctly Classified","Parent ID","Predicted Value","Split","Split Variable","Weight","Count","Average (validation)","Count (validation)"
"482.3558","5","","0,1997","37","37","482,3558","20","482,3558","< 471.8 or MISSING","","747","747","482.8795","112"
"490.2198","5","Nota da prova de Ciências da Natureza","0,4008","38","38","490,2198","20","490,2198",">= 471.8","NOTA_CIENCIAS_DA_NATUREZA","1.499","1499","492.2046","195"
"500.1889","5","Nota da prova de Ciências da Natureza","0,4011","39","39","500,1889","21","500,1889","< 490.9 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","1.500","1500","501.3447","217"
"506.6376","5","","0,1968","40","40","506,6376","21","506,6376",">= 490.9","","736","736","506.7168","113"
"514.621","5","Nota da prova de Ciências da Natureza","0,4008","41","41","514,6210","22","514,6210","< 502.7 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","1.499","1499","515.5869","198"
"520.0632","5","Nota da prova de Ciências da Natureza","0,3987","42","42","520,0632","22","520,0632",">= 502.7","NOTA_CIENCIAS_DA_NATUREZA","1.491","1491","518.1854","199"
"529.3741","5","Nota da prova de Ciências da Natureza","0,5997","43","43","529,3741","23","529,3741","< 520.5 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","2.243","2243","531.091","356"
"537.8455","5","Nota da prova de Ciências da Natureza","0,4035","44","44","537,8455","23","537,8455",">= 520.5","NOTA_CIENCIAS_DA_NATUREZA","1.509","1509","537.355","209"
"543.7003","5","Nota da prova de Ciências da Natureza","0,3979","45","45","543,7003","24","543,7003","< 533","NOTA_CIENCIAS_DA_NATUREZA","1.488","1488","543.2699","216"
"551.7371","5","Nota da prova de Ciências da Natureza","0,8011","46","46","551,7371","24","551,7371",">= 533 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","2.996","2996","550.5379","451"
"561.9856","5","Nota da prova de Ciências da Natureza","0,6014","47","47","561,9856","25","561,9856","< 552.6 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","2.249","2249","561.0956","340"
"568.509","5","","0,3979","48","48","568,5090","25","568,5090",">= 552.6","","1.488","1488","571.0651","212"
"574.5594","5","Nota da prova de Ciências da Natureza","0,6003","49","49","574,5594","26","574,5594","< 566.8 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","2.245","2245","574.7765","277"
"582.2818","5","Nota da prova de Ciências da Natureza","0,4000","50","50","582,2818","26","582,2818",">= 566.8","NOTA_CIENCIAS_DA_NATUREZA","1.496","1496","578.7248","230"
"589.2371","5","Nota da prova de Ciências da Natureza","0,6003","51","51","589,2371","27","589,2371","< 584.1 or MISSING","NOTA_CIENCIAS_DA_NATUREZA","2.245","2245","590.4979","291"
"598.245","5","Nota da prova de Ciências da Natureza","0,4013","52","52","598,2450","27","598,2450",">= 584.1","NOTA_CIENCIAS_DA_NATUREZA","1.501","1501","598.9729","207"
"607.7184","5","","0,1973","53","53","607,7184","28","607,7184","< 600.4 or MISSING","","738","738","608.499","101"
"615.2798","5","","0,2035","54","54","615,2798","28","615,2798",">= 600.4","","761","761","615.4905","116"
"627.8471","5","","0,1997","55","55","627,8471","29","627,8471","< 620.5 or MISSING","","747","747","628.5316","98"
"640.8731","5","","0,1995","56","56","640,8731","29","640,8731",">= 620.5","","746","746","644.6069","116"
"470.8424","6","","0,1997","57","57","470,8424","36","470,8424","< 460.4 or MISSING","","747","747","470.7104","106"
"476.9007","6","","0,2000","58","58","476,9007","36","476,9007",">= 460.4","","748","748","475.5449","118"
"487.654","6","","0,1965","59","59","487,6540","38","487,6540","< 476.8 or MISSING","","735","735","491.5644","90"
